Nume Miner,ID Miner Rezultat,Nivel Final,Putere Rezultat (GH/s),Bonus Rezultat %,Cost RLT/RST,XP Reward,Timp Craft (Secunde),Poate fi vândut,Miner Sursa 1 Nume,Miner Sursa 1 ID,Miner Sursa 1 Cantitate,Miner Sursa 1 Nivel,Miner Sursa 1 Putere (GH/s),Miner Sursa 1 Bonus %,Piesa 1 Nume,Piesa 1 ID,Piesa 1 Cantitate,Piesa 1 Nivel,Miner Sursa 2 Nume,Miner Sursa 2 ID,Miner Sursa 2 Cantitate,Miner Sursa 2 Nivel,Miner Sursa 2 Putere (GH/s),Miner Sursa 2 Bonus %,Piesa 2 Nume,Piesa 2 ID,Piesa 2 Cantitate,Piesa 2 Nivel,Piesa 3 Nume,Piesa 3 ID,Piesa 3 Cantitate,Piesa 3 Nivel
50 Shades of Uncle,67e28396f3afcae791898b35,5,320000000.0,41.69,94.0,32000,0,False,50 Shades of Uncle,67e28396f3afcae791898b2f,2,4,119000000.0,30.69,Fan,6196269b67433d2dc52e0130,49,4,,,,,,,,,,,,,,
50 Shades of Uncle,67e28396f3afcae791898b2f,4,119000000.0,30.69,36.0,11900,0,False,50 Shades of Uncle,67e28396f3afcae791898b29,2,3,45300000.0,22.69,Fan,6319f918a8ce530569f33dd5,13,3,,,,,,,,,,,,,,
50 Shades of Uncle,67e28396f3afcae791898b29,3,45300000.0,22.69,14.0,4530,0,False,50 Shades of Uncle,67e28396f3afcae791898b23,2,2,17250000.0,16.69,Fan,61b35dac67433d2dc57d1156,48,2,,,,,,,,,,,,,,
50 Shades of Uncle,67e28396f3afcae791898b23,2,17250000.0,16.69,5.5,1725,0,False,50 Shades of Uncle,67e28396f3afcae791898b1d,2,1,6570000.0,9.69,Fan,6319f7baa8ce530569ed16b9,335,1,,,,,,,,,,,,,,
50 Shades of Uncle,67e28396f3afcae791898b1d,1,6570000.0,9.69,2.0,657,0,False,50 Shades of Uncle,67e28396f3afcae791898b1a,2,0,2500000.0,6.69,Fan,61b35fea67433d2dc586f7fe,335,0,,,,,,,,,,,,,,
8bearded,631f7b0f8238ed283a234e36,4,15669360.0,5.33,8.0,1567,0,True,8bearded,631f7b0d8238ed283a234e29,2,3,5969250.0,4.27,Hashboard,6319fc56a8ce530569024d79,2,3,,,,,,,,,,,,,,
8bearded,631f7b108238ed283a234e43,5,41132070.0,8.0,21.0,4114,0,True,8bearded,631f7b0f8238ed283a234e36,2,4,15669360.0,5.33,Hashboard,6196289f67433d2dc53c0c5d,1,4,,,,,,,,,,,,,,
8bearded,631f7b0d8238ed283a234e29,3,5969250.0,4.27,3.5,597,0,True,8bearded,631f7b0c8238ed283a234e1c,2,2,2273985.0,3.41,Hashboard,61b35e3767433d2dc57f86a2,8,2,,,,,,,,,,,,,,
8bearded,631f7b0c8238ed283a234e1c,2,2273985.0,3.41,1.16,228,0,True,8bearded,631f7b0b8238ed283a234e0f,2,1,866250.0,1.14,Hashboard,6319f840a8ce530569ef82b7,70,1,,,,,,,,,,,,,,
8bearded,631f7b0b8238ed283a234e0f,1,866250.0,1.14,0.44,87,0,True,8bearded,6231c24ba258d58160cc1526,2,0,330000.0,0.0,Hashboard,61b3606767433d2dc58913a9,1300,0,,,,,,,,,,,,,,
8blessed,631f7b058238ed283a234dc1,5,4114005.0,3.9,10.0,412,0,True,8blessed,631f7b048238ed283a234db4,2,4,1567230.0,2.6,Fan,6196269b67433d2dc52e0130,4,4,,,,,,,,,,,,,,
8blessed,631f7b038238ed283a234da7,3,597030.0,2.08,0.74,60,0,True,8blessed,631f7b028238ed283a234d9a,2,2,227430.0,1.66,Fan,61b35dac67433d2dc57d1156,2,2,,,,,,,,,,,,,,
8blessed,631f7b048238ed283a234db4,4,1567230.0,2.6,7.0,157,0,True,8blessed,631f7b038238ed283a234da7,2,3,597030.0,2.08,Fan,6319f918a8ce530569f33dd5,2,3,,,,,,,,,,,,,,
8blessed,631f7b028238ed283a234d9a,2,227430.0,1.66,0.13,23,0,True,8blessed,631f7b018238ed283a234d8d,2,1,86625.0,0.55,Fan,6319f7baa8ce530569ed16b9,8,1,,,,,,,,,,,,,,
